timestamp,bid_price,bid_qty,ask_price,ask_qty,trade_price,sum_trade_1s,bid_advance_time,ask_advance_time,last_trade_time,_1s_side,_3s_side,_5s_side
2018-01-31 23:45:11.445630+00:00,23270.0,110.0,23280.0,68.0,23270.0,106.0,9.491206,7.492439999999999,7.8e-05,1,1,1
2018-01-31 23:45:11.446141+00:00,23270.0,10.0,23280.0,68.0,23270.0,107.0,9.491717,7.492951,0.000458,1,1,1
2018-01-31 23:45:11.446206+00:00,23270.0,8.0,23280.0,68.0,23270.0,107.0,9.491782,7.493016000000001,0.000523,1,1,1
2018-01-31 23:45:11.446253+00:00,23270.0,3.0,23280.0,70.0,23270.0,107.0,9.491829,7.493063,0.00057,1,1,1
2018-01-31 23:45:11.446279+00:00,23270.0,1.0,23280.0,70.0,23270.0,107.0,9.491855000000001,7.493089,0.000596,0,0,0
2018-01-31 23:45:11.446299+00:00,23260.0,81.0,23280.0,70.0,23270.0,107.0,9.491875,7.493109,0.000616,0,0,0
2018-01-31 23:45:11.447371+00:00,23260.0,76.0,23280.0,70.0,23270.0,111.0,9.492947000000001,7.494181,0.000551,1,1,1
2018-01-31 23:45:11.447448+00:00,23270.0,1.0,23280.0,70.0,23270.0,111.0,7.7e-05,7.494258,0.000628,1,1,1
2018-01-31 23:45:11.447495+00:00,23270.0,1.0,23280.0,73.0,23270.0,112.0,0.000124,7.494305000000001,0.0,2,2,2
2018-01-31 23:45:11.447542+00:00,23260.0,76.0,23270.0,3.0,23270.0,112.0,0.000171,4.7e-05,4.7e-05,2,2,2
2018-01-31 23:45:11.447586+00:00,23260.0,76.0,23270.0,2.0,23270.0,112.0,0.000215,9.1e-05,9.1e-05,0,0,0
2018-01-31 23:45:11.447645+00:00,23260.0,76.0,23280.0,79.0,23270.0,112.0,0.00027400000000000005,0.00015,0.00015,0,0,0
2018-01-31 23:45:11.447690+00:00,23260.0,76.0,23280.0,97.0,23270.0,112.0,0.000319,0.000195,0.000195,1,1,1
2018-01-31 23:45:11.447732+00:00,23270.0,1.0,23280.0,97.0,23270.0,112.0,4.2e-05,0.00023700000000000001,0.00023700000000000001,1,1,1
2018-01-31 23:45:11.447787+00:00,23270.0,1.0,23280.0,96.0,23270.0,112.0,9.7e-05,0.000292,0.000292,2,2,2
2018-01-31 23:45:11.453760+00:00,23260.0,76.0,23270.0,1.0,23270.0,112.0,0.00607,0.005973,0.006265,2,2,2
2018-01-31 23:45:11.453977+00:00,23260.0,76.0,23270.0,2.0,23270.0,112.0,0.006287,0.00619,0.006481999999999999,2,2,2
2018-01-31 23:45:11.454038+00:00,23260.0,77.0,23270.0,2.0,23270.0,112.0,0.0063479999999999995,0.006251,0.006543000000000001,2,2,2
2018-01-31 23:45:11.459256+00:00,23260.0,77.0,23270.0,1.0,23270.0,112.0,0.011566,0.011469,0.011761,2,2,2
2018-01-31 23:45:11.546527+00:00,23260.0,78.0,23270.0,1.0,23270.0,113.0,0.098837,0.09874,0.000323,0,0,0
2018-01-31 23:45:11.547290+00:00,23260.0,78.0,23280.0,96.0,23270.0,113.0,0.0996,0.099503,0.001086,0,0,0
2018-01-31 23:45:11.547546+00:00,23260.0,78.0,23280.0,79.0,23270.0,113.0,0.099856,0.099759,0.001342,0,0,0
2018-01-31 23:45:11.547583+00:00,23260.0,78.0,23280.0,76.0,23270.0,113.0,0.099893,0.09979600000000001,0.001379,0,0,0
2018-01-31 23:45:11.547609+00:00,23260.0,77.0,23280.0,76.0,23270.0,113.0,0.09991900000000001,0.09982200000000001,0.001405,0,0,0
2018-01-31 23:45:11.547780+00:00,23260.0,73.0,23280.0,76.0,23270.0,113.0,0.10009,0.099993,0.001576,0,0,0
2018-01-31 23:45:11.547948+00:00,23260.0,70.0,23280.0,76.0,23270.0,113.0,0.100258,0.100161,0.001744,0,0,0
2018-01-31 23:45:11.548135+00:00,23260.0,66.0,23280.0,75.0,23270.0,113.0,0.100445,0.100348,0.0019309999999999998,0,0,0
2018-01-31 23:45:11.548293+00:00,23260.0,65.0,23280.0,75.0,23270.0,113.0,0.100603,0.100506,0.002089,0,0,0
2018-01-31 23:45:11.550716+00:00,23260.0,65.0,23280.0,76.0,23270.0,113.0,0.10302599999999999,0.10292899999999999,0.0045119999999999995,0,0,0
2018-01-31 23:45:11.577439+00:00,23260.0,66.0,23280.0,76.0,23270.0,113.0,0.129749,0.129652,0.031235000000000002,0,0,0
2018-01-31 23:45:11.646417+00:00,23260.0,76.0,23280.0,76.0,23270.0,113.0,0.198727,0.19863,0.100213,0,0,0
2018-01-31 23:45:11.646786+00:00,23270.0,1.0,23280.0,76.0,23270.0,113.0,0.00036899999999999997,0.198999,0.100582,0,0,0
2018-01-31 23:45:11.647031+00:00,23270.0,2.0,23280.0,76.0,23270.0,113.0,0.000614,0.199244,0.100827,0,0,0
2018-01-31 23:45:11.647272+00:00,23270.0,3.0,23280.0,76.0,23270.0,113.0,0.0008550000000000001,0.199485,0.10106799999999999,0,0,0
